iter	RMSE
0	0.913311773
1	0.831492016
2	0.7578601353
3	0.6905348348
4	0.6319888568
5	0.5800238432
6	0.5329516618
7	0.4903913738
8	0.4511129878
9	0.4170509133
10	0.3860934284
11	0.357899632
12	0.333984407
13	0.3131631749
14	0.2957245755
15	0.2796963594
16	0.2669329956
17	0.2528686369
18	0.2400966317
19	0.2284391623
20	0.2197418559
21	0.2110279664
22	0.2032177111
23	0.1957689918
24	0.1880421385
25	0.1828829196
26	0.1787148643
27	0.1746773885
28	0.1712718931
29	0.1682952235
30	0.1649219281
31	0.1617076152
32	0.1586354884
33	0.1570226766
34	0.1542730891
35	0.1518008388
36	0.1498360696
37	0.1479095548
38	0.1467685483
39	0.1451124618
40	0.1435915208
41	0.141761428
42	0.1404043331
43	0.1393504794
44	0.137789255
45	0.1365497311
46	0.1350245682
47	0.13400424
48	0.1332418551
49	0.1318925776
50	0.1312510389
51	0.1306805954
52	0.1298880465
53	0.1294371106
54	0.1284234557
55	0.1274870842
56	0.126373162
57	0.1255018298
58	0.1249549342
59	0.1239969516
60	0.123661055
61	0.1226516315
62	0.1221197277
63	0.1211834656
64	0.1201707077
65	0.1196577195
66	0.1190868085
67	0.1180648542
68	0.1176621503
69	0.117142092
70	0.116402858
71	0.1156175712
72	0.1149780414
73	0.113987153
74	0.11338601
75	0.1130533599
76	0.1126434692
77	0.1117740415
78	0.1109681912
79	0.1102201159
80	0.1097314895
81	0.1090213013
82	0.1083903398
83	0.1079814493
84	0.1074195738
85	0.1071325409
86	0.1060815394
87	0.105585621
88	0.1051255284
89	0.1045830605
90	0.1039097272
91	0.1025960831
92	0.1020840039
93	0.101517884
94	0.100799223
95	0.1000568224
96	0.09904272915
97	0.09847046306
98	0.09789286243
99	0.09732437496
100	0.0967389275
101	0.09618213625
102	0.0956399785
103	0.09496889562
104	0.09430675274
105	0.09382749997
106	0.09299175341
107	0.09278819653
108	0.0919475574
109	0.0915233454
110	0.09108013757
111	0.09087290893
112	0.090530464
113	0.08984708677
114	0.0890089788
115	0.08857364474
116	0.08758694162
117	0.08715162391
118	0.08675314012
119	0.08602512853
120	0.08556242259
121	0.08515076313
122	0.08459736327
123	0.08397294547
124	0.08381011212
125	0.08314217082
126	0.08279376657
127	0.08247461502
128	0.08214942402
129	0.08170617652
130	0.08107242425
131	0.08063079661
132	0.08025610936
133	0.07987616687
134	0.07957192325
135	0.07906192266
136	0.07851081906
137	0.07809389123
138	0.07771506905
139	0.07692632625
140	0.07659233322
141	0.0761174544
142	0.07550696987
143	0.07507271912
144	0.07485863858
145	0.07438959081
146	0.07396309187
147	0.07357219534
148	0.07328547344
149	0.07296104301
150	0.07266295917
151	0.07229324706
152	0.07188224654
153	0.07153285291
154	0.07134763428
155	0.07106107454
156	0.07074353313
157	0.07035483124
158	0.07004508337
159	0.06976535376
160	0.06945133309
161	0.06917701825
162	0.0688081943
163	0.06851147406
164	0.0681701685
165	0.06773979962
166	0.06751022448
167	0.06729152538
168	0.06704106429
169	0.06669874748
170	0.06653191141
171	0.06621637569
172	0.06590814238
173	0.06569367702
174	0.06537579559
175	0.0651557454
176	0.0647568981
177	0.06461743237
178	0.06445170551
179	0.06414600926
180	0.06385116324
181	0.0635040981
182	0.06327170756
183	0.06292495137
184	0.06265004384
185	0.06245649995
186	0.06226779666
187	0.06184048329
188	0.06153585205
189	0.06136148989
190	0.06107269281
191	0.06094408984
192	0.0606124633
193	0.06018052743
194	0.06001298957
195	0.059824592
196	0.05962636787
197	0.05931433762
198	0.05902948865
199	0.05849640594
200	0.05826433434
201	0.0579425139
202	0.05764596064
203	0.05737549228
204	0.05720218319
205	0.05693879302
206	0.05681807258
207	0.05666693933
208	0.05648244348
209	0.05630755195
210	0.05609198331
211	0.05593235238
212	0.05579534278
213	0.05538711986
214	0.05524029872
215	0.05503547433
216	0.05487705475
217	0.05460170684
218	0.05437800925
219	0.05422036292
220	0.05407339694
221	0.05389197551
222	0.05362667991
223	0.05349906425
224	0.05333391655
225	0.05321547529
226	0.05294599848
227	0.05280000423
228	0.05265172875
229	0.05225959329
230	0.0521759564
231	0.05196550678
232	0.0514897477
233	0.05138125174
234	0.05117155454
235	0.05105189363
236	0.05089354603
237	0.0506214053
238	0.0504946658
239	0.05032915685
240	0.05020823705
241	0.05013303771
242	0.04996411591
243	0.04986518128
244	0.04965182774
245	0.04957833031
246	0.04933241773
247	0.04920995209
248	0.04911808487
