iter	Passed	Remaining
388	1115	318
389	1118	315
390	1121	312
391	1124	309
392	1127	306
393	1129	303
394	1132	301
395	1135	298
396	1138	295
397	1141	292
398	1144	289
399	1146	286
400	1149	283
401	1152	281
402	1155	278
403	1158	275
404	1161	272
405	1164	269
406	1167	266
407	1169	263
408	1172	260
409	1175	258
410	1178	255
411	1181	252
412	1184	249
413	1187	246
414	1190	243
415	1193	240
416	1196	238
417	1198	235
418	1201	232
419	1204	229
420	1207	226
421	1210	223
422	1213	220
423	1216	218
424	1219	215
425	1222	212
426	1225	209
427	1228	206
428	1231	203
429	1234	200
430	1237	198
431	1240	195
432	1243	192
433	1246	189
434	1249	186
435	1252	183
436	1255	180
437	1258	178
438	1261	175
439	1264	172
440	1267	169
441	1270	166
442	1273	163
443	1275	160
444	1278	158
445	1281	155
446	1284	152
447	1287	149
448	1290	146
449	1293	143
450	1296	140
451	1299	137
452	1302	135
453	1305	132
454	1307	129
455	1310	126
456	1313	123
457	1316	120
458	1319	117
459	1322	114
460	1324	112
461	1327	109
462	1330	106
463	1333	103
464	1336	100
465	1339	97
466	1341	94
467	1344	91
468	1347	89
469	1350	86
470	1353	83
471	1356	80
472	1358	77
473	1361	74
474	1364	71
475	1367	68
476	1370	66
477	1373	63
478	1376	60
479	1379	57
480	1382	54
481	1385	51
482	1388	48
483	1391	45
484	1394	43
485	1397	40
486	1400	37
487	1403	34
488	1406	31
489	1408	28
490	1412	25
491	1415	23
492	1418	20
493	1421	17
494	1423	14
495	1426	11
496	1430	8
497	1433	5
498	1436	2
499	1438	0
